Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,85.610001,86.190002,85.290001,85.870003,83.789650,2941600
2019-06-28,85.800003,87.129997,85.750000,86.610001,84.511719,5284100
2019-07-01,87.550003,88.839996,86.010002,86.940002,84.833717,4780700
2019-07-02,86.910004,87.050003,86.239998,87.040001,84.931297,2323600
2019-07-03,87.500000,87.980003,87.419998,87.900002,85.770454,1532900
2019-07-05,87.750000,88.779999,87.440002,88.639999,86.492531,2032000
2019-07-08,88.550003,89.410004,87.949997,88.910004,86.755997,4734400
2019-07-09,88.470001,89.400002,87.800003,87.800003,85.672890,3986900
2019-07-10,87.849998,88.000000,85.680000,85.849998,83.770126,5638400
2019-07-11,86.400002,87.220001,86.059998,86.470001,84.375107,5307700
2019-07-12,87.050003,88.879997,86.730003,87.529999,85.409424,4732000
2019-07-15,87.550003,88.209999,86.449997,86.800003,84.697121,3174200
2019-07-16,87.419998,88.820000,87.099998,88.309998,86.170525,5276900
2019-07-17,88.050003,88.120003,87.209999,87.860001,85.731438,3671100
2019-07-18,87.510002,88.519997,87.029999,88.500000,86.355927,3847900
2019-07-19,88.839996,89.139999,88.000000,88.010002,85.877808,3420400
2019-07-22,88.250000,88.639999,86.879997,87.220001,85.106934,2850200
2019-07-23,87.750000,88.559998,86.690002,88.540001,86.394958,4304000
2019-07-24,88.019997,89.510002,87.720001,89.089996,86.931625,3204700
2019-07-25,88.820000,89.029999,87.419998,87.970001,85.838768,3603500
2019-07-26,87.839996,87.839996,86.370003,87.059998,84.950806,5315900
2019-07-29,87.160004,87.459999,86.660004,87.230003,85.116699,3328800
2019-07-30,87.269997,87.290001,86.220001,86.879997,84.775177,2733400
2019-07-31,86.830002,87.510002,85.830002,86.400002,84.306808,4470600
2019-08-01,86.190002,87.040001,81.029999,82.620003,80.618385,7100500
2019-08-02,82.529999,82.730003,81.449997,81.519997,79.545029,5134500
2019-08-05,81.300003,81.570000,80.029999,80.790001,78.832718,7255600
2019-08-06,81.160004,83.209999,80.769997,82.769997,80.764740,5546300
2019-08-07,81.940002,83.250000,81.129997,83.010002,80.998932,4762100
2019-08-08,83.730003,84.620003,82.980003,83.800003,81.769798,4464100
2019-08-09,83.500000,84.370003,82.050003,82.410004,80.413475,4966300
2019-08-12,81.320000,82.150002,81.050003,82.029999,80.042671,4913400
2019-08-13,81.599998,86.639999,81.209999,84.239998,82.199127,8412100
2019-08-14,81.860001,83.220001,81.150002,81.889999,79.906059,7011500
2019-08-15,83.360001,84.050003,82.010002,82.559998,80.559830,5389000
2019-08-16,83.300003,84.459999,83.169998,84.209999,82.169853,4861100
2019-08-19,86.500000,86.879997,85.709999,86.580002,84.482437,7353800
2019-08-20,86.230003,87.120003,85.529999,85.529999,84.098969,8797200
2019-08-21,99.870003,103.379997,98.129997,103.000000,101.276672,41449400
2019-08-22,105.389999,106.519997,103.379997,106.320000,104.541122,17105700
2019-08-23,104.769997,105.940002,103.250000,103.489998,101.758469,8989600
2019-08-26,104.910004,105.739998,103.769997,104.769997,103.017052,5583100
2019-08-27,105.010002,105.099998,104.260002,104.699997,102.948227,5319900
2019-08-28,104.669998,106.720001,104.500000,106.400002,104.619789,6641000
2019-08-29,107.989998,108.550003,106.930000,107.930000,106.124176,5196600
2019-08-30,108.500000,109.330002,106.830002,107.040001,105.249077,5309000
2019-09-03,106.769997,107.480003,106.010002,106.709999,104.924599,3992100
2019-09-04,107.000000,107.919998,106.809998,107.360001,105.563721,3963700
2019-09-05,109.239998,109.400002,108.220001,108.540001,106.723976,4144400
2019-09-06,108.949997,110.940002,108.800003,109.849998,108.012062,5274400
2019-09-09,109.599998,110.269997,107.519997,107.949997,106.143852,5005500
2019-09-10,107.410004,108.830002,106.839996,108.830002,107.009132,3949200
2019-09-11,108.699997,109.510002,107.889999,108.970001,107.146790,3704700
2019-09-12,109.430000,109.720001,108.550003,108.940002,107.117294,3185700
2019-09-13,109.070000,109.169998,107.830002,107.989998,106.183182,2508300
2019-09-16,107.250000,107.940002,106.300003,106.959999,105.170418,4642500
2019-09-17,106.629997,107.459999,106.180000,107.279999,105.485062,4325800
2019-09-18,107.120003,107.690002,106.010002,106.970001,105.180252,2950900
2019-09-19,108.550003,108.739998,106.879997,107.870003,106.065193,2938700
2019-09-20,108.309998,108.550003,106.599998,106.669998,104.885262,4199800
2019-09-23,107.419998,110.410004,107.209999,108.779999,106.959961,4945300
2019-09-24,110.199997,110.199997,107.080002,107.449997,105.652214,5397700
2019-09-25,107.070000,108.129997,106.620003,106.800003,105.013092,3934100
2019-09-26,106.900002,107.400002,104.680000,106.290001,104.511627,5166600
2019-09-27,105.949997,106.809998,105.529999,106.120003,104.344475,3188600
