Date,Open,High,Low,Close,Adj Close,Volume
2019-08-16,16.540001,16.639999,16.170000,16.430000,16.430000,599300
2019-08-19,16.620001,18.020000,16.500000,17.850000,17.850000,1159000
2019-08-20,17.809999,17.809999,16.740000,17.709999,17.709999,954400
2019-08-21,17.719999,18.180000,17.690001,17.980000,17.980000,563800
2019-08-22,18.200001,19.080000,18.125000,18.240000,18.240000,880700
2019-08-23,18.100000,18.340000,17.389999,17.480000,17.480000,383900
2019-08-26,17.639999,18.080000,17.438999,17.799999,17.799999,722400
2019-08-27,17.840000,17.980000,17.320000,17.459999,17.459999,351700
2019-08-28,17.410000,17.900000,17.379999,17.570000,17.570000,949200
2019-08-29,17.639999,17.799999,16.330000,16.750000,16.750000,2244900
2019-08-30,16.730000,16.730000,15.970000,16.320000,16.320000,1556700
2019-09-03,16.299999,16.795000,16.190001,16.660000,16.660000,995100
2019-09-04,16.700001,17.285000,16.700001,17.059999,17.059999,779800
2019-09-05,17.209999,17.510000,16.920000,17.309999,17.309999,440900
2019-09-06,17.290001,18.010000,17.264999,17.520000,17.520000,594900
2019-09-09,17.420000,17.480000,16.680000,16.820000,16.820000,559500
2019-09-10,16.600000,16.700001,15.810000,15.980000,15.980000,671900
2019-09-11,15.970000,16.070000,15.820000,15.930000,15.930000,511600
2019-09-12,15.940000,16.299999,15.910000,16.020000,16.020000,284900
2019-09-13,15.990000,16.190001,15.690000,15.740000,15.740000,284000
2019-09-16,15.540000,15.880000,15.520000,15.720000,15.720000,475700
2019-09-17,15.520000,16.270000,15.520000,16.180000,16.180000,687700
2019-09-18,16.299999,16.639999,15.940000,16.469999,16.469999,1430600
2019-09-19,16.500000,17.075001,16.500000,17.049999,17.049999,784900
2019-09-20,17.340000,17.950001,17.225000,17.650000,17.650000,1232100
2019-09-23,17.360001,18.620001,17.219999,18.400000,18.400000,1151900
2019-09-24,18.480000,18.719999,18.040001,18.180000,18.180000,659700
2019-09-25,18.110001,18.490000,17.610001,18.270000,18.270000,1112800
2019-09-26,18.270000,18.605000,17.950001,17.969999,17.969999,587200
2019-09-27,18.040001,18.040001,17.379999,17.510000,17.510000,455000
2019-09-30,17.549999,17.750000,17.420000,17.510000,17.510000,840400
2019-10-01,17.450001,17.955000,17.260000,17.459999,17.459999,900200
2019-10-02,17.389999,17.570000,16.650000,16.879999,16.879999,394300
2019-10-03,16.840000,17.520000,16.840000,17.500000,17.500000,460500
2019-10-04,17.500000,18.150000,17.410000,18.049999,18.049999,396600
2019-10-07,18.150000,18.281000,17.920000,18.129999,18.129999,326400
2019-10-08,17.950001,17.950001,17.379999,17.590000,17.590000,359800
2019-10-09,17.799999,17.813000,17.440001,17.530001,17.530001,281900
2019-10-10,17.559999,17.666000,16.850000,17.059999,17.059999,496500
2019-10-11,17.120001,17.480000,16.980000,17.139999,17.139999,291500
2019-10-14,17.370001,17.879999,17.305000,17.590000,17.590000,250000
2019-10-15,17.670000,17.870001,17.250000,17.520000,17.520000,236300
2019-10-16,17.490000,17.780001,17.320000,17.700001,17.700001,386900
2019-10-17,17.920000,18.070000,17.730000,18.030001,18.030001,430000
2019-10-18,17.969999,18.020000,17.500000,17.670000,17.670000,275400
2019-10-21,17.740000,17.900000,17.344000,17.370001,17.370001,316600
2019-10-22,17.420000,17.620001,16.850000,16.900000,16.900000,305800
2019-10-23,16.900000,17.059999,16.510000,16.680000,16.680000,246800
2019-10-24,16.719999,16.889999,16.559999,16.580000,16.580000,259100
2019-10-25,16.520000,17.040001,16.340000,16.809999,16.809999,411400
2019-10-28,16.889999,17.629999,16.889999,17.360001,17.360001,473300
